instruction,input,news_publisher,event_date,english_comment_text,comment_text,anger_intensity,fear_intensity,joy_intensity,emotional_classification,pred_stance
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `It's not surprising they got infected. During Loy Krathong and other merit-making festivals, there were so many people. It was hard to find anyone wearing a mask. I was wearing one to the point of being embarrassed.` on topic of `fask masks`",TNN,2022-11-26,"It's not surprising they got infected. During Loy Krathong and other merit-making festivals, there were so many people. It was hard to find anyone wearing a mask. I was wearing one to the point of being embarrassed.",ก็น่าติด ช่วงลอยกระทง บุญงานต่างๆคนเยอะมาก หาคนใส่แมสยากมาก ผมใส่จนอายคน,0.438,0.479,0.2,"anticipation, disgust, fear, sadness.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `This afternoon I rode my motorcycle to buy food. Along the way, I saw 2 motorcyclists not wearing masks, 2 wearing masks on their chins, and 3-4 people walking on the street without masks. (In Chanthaburi) Sigh.` on topic of `fask masks`",TNN,2021-01-03,"This afternoon I rode my motorcycle to buy food. Along the way, I saw 2 motorcyclists not wearing masks, 2 wearing masks on their chins, and 3-4 people walking on the street without masks. (In Chanthaburi) Sigh.",บ่ายนี้ผมขี่มอไซไปซื้อข้าวกิน ตลอดทางผมเห็นพวกที่ขี่มอไซไม่ใส่แมส2คนใส่แมสไว้ที่คางอีก2คน ออกมาเดินหน้าถนนไม่สวมแมสอีก3-4คน (ที่ จันทบุรีครับ)  เฮ้อ,0.438,0.438,0.292,sadness.,Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `They act like they're scared of dying, but they don't wear masks. This country is so strange. It's truly unfortunate!! Whoever voted for this is now facing the consequences of their choice. Serves them right!!!` on topic of `fask masks`",TNN,2020-07-01,"They act like they're scared of dying, but they don't wear masks. This country is so strange. It's truly unfortunate!! Whoever voted for this is now facing the consequences of their choice. Serves them right!!!",ทำตัวกลัวตาย แต่ไม่ใส่แมส แปลกจริงไอ้ประเทศ นี้ซวยจริง!!ใครที่เลือกมันมานี่ กำลังได้รับผลที่ตัวเองเลือกมา สมใจมันละ!!!,0.521,0.479,0.12,"anger, disgust, fear, sadness.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `I strongly disagree. Wearing a mask will always make us aware of the situation. Touching the mask often when wearing it is real. But don't forget that wearing a mask also reduces the behavior of grabbing things and putting them in your mouth immediately. It creates awareness before putting anything in your mouth.` on topic of `fask masks`,TNN,2020-05-15,I strongly disagree. Wearing a mask will always make us aware of the situation. Touching the mask often when wearing it is real. But don't forget that wearing a mask also reduces the behavior of grabbing things and putting them in your mouth immediately. It creates awareness before putting anything in your mouth.,"ไม่เห็นด้วยอย่างยิ่ง การใส่หน้ากากอนามัย จะทำให้เราตระหนักอยู่เสมอถึงสถานการณ์ การที่เอามือไปจับหน้ากากอนามัยบ่อย เมื่อใส่ก็จริงอยู่
แต่อย่าลืมว่าการใส่หน้ากากอนามัยมันก็ลดพฤติกรรมการจับสิ่งของแล้วไปเข้าปากทันทีด้วย มันสร้างความตระหนักก่อนจะเอาอะไรเข้าปา",0.396,0.396,0.271,"anticipation, pessimism.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Let them get infected. It's happening all over the world anyway. Whoever is not infected, wear a mask, take care of yourself. Whoever is infected, find medicine, rest at home, don't go out and spread it. Let everyone be responsible for society. Let's fight against COVID. Don't be afraid. Fighting to the whole world.😊` on topic of `fask masks`",TNN,2022-11-13,"Let them get infected. It's happening all over the world anyway. Whoever is not infected, wear a mask, take care of yourself. Whoever is infected, find medicine, rest at home, don't go out and spread it. Let everyone be responsible for society. Let's fight against COVID. Don't be afraid. Fighting to the whole world.😊",ติดๆไปเลย ทั่วโลกก็เป็นกันหมดแล้ว  ใครไม่ติดก็ใส่แมสใว้ รักษาตัวเอง ใครติดก็หายากินพักพ่อนที่บ้าน ไม่เอาไปปล่อย ให้คนอื่นก็รับผิดชอบ ต่อสังคมแล้ว สุ้ต่อไปกับ โควิด อย่ากลัว  สู้ๆทั่วโลก นะอะ😊,0.292,0.393,0.434,"joy, optimism.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Easy to say, hard to do. Worldwide, probably no one wants to get infected. This thing, to be honest, even wearing a mask doesn't help. Two layers might, but how many people will do that because it's hard to breathe...Sending encouragement to everyone.` on topic of `fask masks`",TNN,2022-01-07,"Easy to say, hard to do. Worldwide, probably no one wants to get infected. This thing, to be honest, even wearing a mask doesn't help. Two layers might, but how many people will do that because it's hard to breathe...Sending encouragement to everyone.",พูดง่าย ทำยาก ทั่วโลก คงจะไม่มีใครอยากติด ตัวนี้เอาตรงๆ ใส่แมส ก็เอาไม่อยู่ 2ชั้นอาจได้ แต่จะมีสักกี่คน เพราะมันหายใจลำบาก...เป็นกำลังใจให้ทุกท่าน,0.394,0.5,0.292,"fear (hard to breathe), optimism (sending encouragement).",Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Cleanliness, disinfection in malls, workplaces, and community places has decreased, so Covid has been resurrected. Please wear a mask.` on topic of `fask masks`",TNN,2022-11-14,"Cleanliness, disinfection in malls, workplaces, and community places has decreased, so Covid has been resurrected. Please wear a mask.","ความสะอาด การฆ่าเชื้อในห้าง ที่ทำงาน สถานที่ชุมชนลดลง โควิด
เลยคืนชีพ ใส่แมสด้วย",0.479,0.62,0.2,"anger, disgust, fear.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `It would be better to wear a gas mask, it's easier to breathe than in a 2-layer mask. But if you go out, it will become a highlight, people will probably look a lot.` on topic of `fask masks`",TNN,2021-02-04,"It would be better to wear a gas mask, it's easier to breathe than in a 2-layer mask. But if you go out, it will become a highlight, people will probably look a lot.",ซื้อหน้ากากกันแก๊สมาใส่ดีกว่า หายใจสะดวกกว่าในหน้าอนามัน2ชั้นเยอะ แต่ไปไหนมาไหนจะกลายเป็นจุดเด่น คนน่าจะมองเยอะ,0.396,0.396,0.333,"anticipation, joy, optimism.",Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `The problem and the spreaders are those irresponsible people who have been vaccinated.  Most of those who have been vaccinated are careless, don't wear masks, don't social distance, and go everywhere. They are the number one spreaders because they carry the virus, and some of them don't show symptoms. That's why...` on topic of `fask masks`",TNN,2021-11-20,"The problem and the spreaders are those irresponsible people who have been vaccinated.  Most of those who have been vaccinated are careless, don't wear masks, don't social distance, and go everywhere. They are the number one spreaders because they carry the virus, and some of them don't show symptoms. That's why...",ไอ้คนที่ฉีดแร้ว แต่ไม่มีความรับผิดชอบต่อตัวเองนั่นแหล่ะตัวปัญหาตัวแพร่เชื้อเรย ส่วนใหญ่คนที่ฉีดแร้วมันสะเพร่าไม่ใส่แมสไม่เว้นระยะห่ไรกันอีกเรยแถมแม่งไปได้ทุกที่ แม่งพวกนี้ตัวแพร่เชื่ออันดับหนึ่งเรยเพราะมัันมีเชื้อบางคนก็ไม่แสดงอาการเพราะไอ้พวกนี้แหล่ะมันถ,0.5,0.562,0.233,"anger, disgust, fear.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `Why wear a mask when you're talking to yourself?` on topic of `fask masks`,TNN,2021-04-30,Why wear a mask when you're talking to yourself?,นั่งพูดอยู่คนเดียวจะใส่แมสไปทำไม,0.396,0.271,0.231,"joy, pessimism.",Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `I still see a lot of people walking around without masks.` on topic of `fask masks`,TNN,2020-09-22,I still see a lot of people walking around without masks.,ผมก็ยังเห็นคนเดินไม่ใส่แมสเดินกันเต็มเลย,0.438,0.394,0.2,"anger, disgust, fear, sadness.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `I see crazy people who haven't been vaccinated and don't wear masks. They've been walking around like that since the beginning of COVID and still haven't gotten it. They're still healthy.  People who take care of themselves end up getting COVID. Great.` on topic of `fask masks`,TNN,2022-01-07,I see crazy people who haven't been vaccinated and don't wear masks. They've been walking around like that since the beginning of COVID and still haven't gotten it. They're still healthy.  People who take care of themselves end up getting COVID. Great.,กูเห็นคนบ้าแม่งไม่ได้ฉีดวัคซีนแมสแม่งก็ไม่ใส่ตั้งแต่โควิดมาแรกจนปัจจุบันเดินไปทั่วเลยแม่งยังไม่ติดโควิดเลยแข็งแรงเหมือนเดิม คนดูแลตัวเองแทบตายเสือกติดโควิดกันดีจัง,0.438,0.393,0.271,"anticipation, joy, sadness.",Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `So happy to welcome tourists. The airport is packed. Little did they know, this government has welcomed in more Covid than ever before. If you don't believe me, just wait and see. People aren't wearing masks, being careless and bringing in even more Covid infections. The country will be full of it again for sure.` on topic of `fask masks`",TNN,2022-11-13,"So happy to welcome tourists. The airport is packed. Little did they know, this government has welcomed in more Covid than ever before. If you don't believe me, just wait and see. People aren't wearing masks, being careless and bringing in even more Covid infections. The country will be full of it again for sure.",รับนักท่องเที่ยวเข้า มากๆๆดีใจรับนักท่องเทึ่ยวเข้ามามากสนามบินแตกหารู้ไม่รัฐบาลชุดนี่รับเอาโควิดเข้ามามากกว่าเก่าอีกไม่เชื่อค่อยดูเถอะ แมสไม่ใส่ประมาทรับเอาเชื้อโควิดเข้ามาอีกมากมายเต์มบ้านเตมเมืองอีกแน่นอน,0.521,0.5,0.21,"anger, disgust, fear.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Even though the government has said we can stop wearing masks, most Thai people still wear them when they leave the house. And most department stores and supermarkets still have temperature checks and hand sanitizer available, so it's become a habit to use them when we go there.` on topic of `fask masks`",TNN,2022-11-13,"Even though the government has said we can stop wearing masks, most Thai people still wear them when they leave the house. And most department stores and supermarkets still have temperature checks and hand sanitizer available, so it's become a habit to use them when we go there.",คนไทยส่วนใหญ่แม้รัฐบาลจะบอกว่าไม่ใส่สวมแมสแล้วก็ได้.แต่คนไทยส่วนมากเวลาออกนอกบ้านก็ยังติดการใส่แมสอยู่..และในห้างร้านซุปเปอร์มาเก็ตส่วนมากก็ยังมีเครื่องวัดอุณภูมิกับแอลกอฮอล์ล้างมือให้บริการอยู่ตลอดมันเลยเป็นความเคยชินเมื่อเราเดินเข้าไปใช้บริการเลยต้องวัด,0.333,0.438,0.32,"joy, optimism.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `I've been wearing a cloth mask since before I got vaccinated. I hand-wash it, boil it, and then hang it to dry. After getting vaccinated, I wear it sometimes and not others, but I also use a surgical mask. A cloth mask is thicker because it has two layers of fabric.` on topic of `fask masks`",TNN,2021-06-29,"I've been wearing a cloth mask since before I got vaccinated. I hand-wash it, boil it, and then hang it to dry. After getting vaccinated, I wear it sometimes and not others, but I also use a surgical mask. A cloth mask is thicker because it has two layers of fabric.",ฉันใส่หน้ากากผ้ามาตั้งแต่ยังไม่ฉีดวัคซีน ฉันซักด้วยมือ และลวกด้วยน้ำร้อนตาก หลังฉีดวัคซีนก็ใส่บ้าง ไม่ใส่บ้าง แต่ก็ใช้หน้ากากอนามัยด้วย หน้ากากผ้าหนากว่า เพราะมีผ้าสองชั้น,0.333,0.394,0.231,"anticipation, joy, optimism.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `I really wonder, why do doctors and nurses wear masks? So confused. It can't be because they're afraid of a shortage of masks for medical personnel, right?` on topic of `fask masks`",TNN,2020-05-15,"I really wonder, why do doctors and nurses wear masks? So confused. It can't be because they're afraid of a shortage of masks for medical personnel, right?","สงสัยจริงๆ แล้วพวกหมอและพยาบาลใส่หน้ากาก ทำไม ? งงมาก คง
ไม่ใช่เพราะเหตุผลกลัวจะเกิดการขาดแคลนหน้ากากอนามัยสำหรับบุคคลากรทางการแพทย์นะ",0.394,0.43,0.233,"anticipation, disgust, fear, sadness, surprise.",Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Think back to the beginning of the COVID outbreak, Thai people have been wearing masks since the heavy dust season and have continued to wear them.  During COVID, almost 100% of people wore masks. But other countries said that wearing masks would actually increase infections.  Now look, many countries have to enforce mask mandates.  Thank you for being born Thai. Thank you to the Thai government.  Thank you.` on topic of `fask masks`",TNN,2020-08-13,"Think back to the beginning of the COVID outbreak, Thai people have been wearing masks since the heavy dust season and have continued to wear them.  During COVID, almost 100% of people wore masks. But other countries said that wearing masks would actually increase infections.  Now look, many countries have to enforce mask mandates.  Thank you for being born Thai. Thank you to the Thai government.  Thank you.",นึกถึงตอนที่โควิดระบาดแรกแรก​นะคะ​ คนไทยใส่แมสมาตั้งแต่ช่วงฝุ่นเยอะ​ และใส่มาตลอด​ จนช่วงโควิดก็ใสกันเกือบ100%  ​แต่ต่างประเทศบอกว่ายิ่งใส่แมสจะทำให้ติดเชื้อเพิ่ม​  แล้วดูตอนนี้สิหลายประเทศต้องบังคับให้ใส่แมส ขอบคุณที่้เกิดเป็นคนไทย​ ขอบคุณรัฐบาลไทย ขอบคุ,0.395,0.395,0.46,"joy, optimism.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `It's going to be like Wuhan here in Samut Sakhon. The weather is cold, and some people don't even wear masks. If they get infected, they'll become spreaders.` on topic of `fask masks`",TNN,2020-12-21,"It's going to be like Wuhan here in Samut Sakhon. The weather is cold, and some people don't even wear masks. If they get infected, they'll become spreaders.",มันจะเป็นอู่ฮั่นสาคร ยิ่งอากาศหนาวอีก หน้ากากบางคนก็ไม่ใส่ ถ้าเป็นก็ตัวแพร่เชื้อ,0.438,0.562,0.233,fear.,Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `People with short-sightedness who wear glasses to drive, when they wear a mask and breathe out, their glasses will fog up and they won't be able to see.  If there's an accident, it's very dangerous. What should we do about this?` on topic of `fask masks`",TNN,2021-04-26,"People with short-sightedness who wear glasses to drive, when they wear a mask and breathe out, their glasses will fog up and they won't be able to see.  If there's an accident, it's very dangerous. What should we do about this?",สายตาสั้นใส่แว่นตาขับรถ พอใส่แมสหายใจออกมาแว่นจะเป็นฝ้า มองไม่เห็นถ้าเกิดอุบัติเหตุ อันตรายมากครับ แล้วจะทำอย่างไรแบบนี้,0.434,0.56,0.233,"anticipation, fear, sadness.",Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `There are stupid French people who refuse to get vaccinated and refuse to wear a mask, and when they get COVID, they go out to visit friends/relatives.  I've met a lot of stupid people like this.  I wear a mask, and they even cursed at me.` on topic of `fask masks`",TNN,2022-01-09,"There are stupid French people who refuse to get vaccinated and refuse to wear a mask, and when they get COVID, they go out to visit friends/relatives.  I've met a lot of stupid people like this.  I wear a mask, and they even cursed at me.",มีคนฝรั่งเศสที่งี่เง่าไม่ยอมฉีดวัคซีน ไม่ยอมใส่แมส พอเป็นโควิดยังไปเที่ยวหาเพื่อน/พี่น้อง  เจอพวกโง่แบบนี้มาหลายคนแล้วค่ะ  เราใส่แมสมันยังด่าเราเฉยเลย,0.625,0.54,0.231,"anger, disgust.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `A democratic country. No need to wear a mask because it's a free country. No need to be careful.` on topic of `fask masks`,TNN,2021-01-24,A democratic country. No need to wear a mask because it's a free country. No need to be careful.,"ประเทศประชาธิปไตย
ไม่ต้องใส่แมส เพราะเป็นประเทศเสรี ไม่ระวัง",0.396,0.292,0.392,"joy, optimism.",Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Whoever wants to take off the mask, go ahead. When you're dying and can't breathe, no one will be there to share your pain.` on topic of `fask masks`",TNN,2022-05-28,"Whoever wants to take off the mask, go ahead. When you're dying and can't breathe, no one will be there to share your pain.",ใครจะถอดแมสก็เอาเถอะ ตอนตายหายใจไม่ออก ไม่มีใครมาแบ่งความเจ็บปวดไป,0.438,0.562,0.12,fear.,Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Do you know that Denmark was the first country to announce no mask mandate and does not require children under the age of eighteen to be vaccinated?  Did you know that? Under eighteen years old, no need to be injected with that poison.` on topic of `fask masks`",TNN,2022-08-12,"Do you know that Denmark was the first country to announce no mask mandate and does not require children under the age of eighteen to be vaccinated?  Did you know that? Under eighteen years old, no need to be injected with that poison.",รู้มั๊ยเดนมาร์กเป็นประเทศแรกที่ประกาศไม่สวมแมส และไม่ให้เด็กอายุต่ำกว่าสิบแปดปีต้องฉีควัคซีน รู้ยัง ต่ำกว่าสิบแปดปีไม่ต้องฉีด ยาพิดนั่น,0.438,0.393,0.333,"anticipation, joy, optimism.",Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `Dr. Taweesin also wears a mask. We're worried.` on topic of `fask masks`,TNN,2020-12-28,Dr. Taweesin also wears a mask. We're worried.,คุณหมอทวีศิลป์ใส่แมสด้วยค่ะ เป็นห่วง,0.392,0.625,0.208,fear.,Neutral
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `People aren't wearing masks anymore, vaccine immunity is starting to wane, and people are becoming careless.` on topic of `fask masks`",TNN,2022-10-08,"People aren't wearing masks anymore, vaccine immunity is starting to wane, and people are becoming careless.",ไม่ใส่แมสกันแล้ว ภูมิวัคซีนเริ่มหมด คนปล่อยปะละเลยกัน,0.438,0.562,0.231,"anger, disgust, fear, sadness.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `I feel sorry for the people who are trying to make a living. But there are still a lot of people who are negligent, not interested in following the doctor's recommendations. You can still see people not wearing masks, people gathering in groups, people sitting close together, especially teenagers, I see a lot. The important thing is how do we instill this awareness? I want these people to empathize with the people who are...` on topic of `fask masks`",TNN,2021-07-30,"I feel sorry for the people who are trying to make a living. But there are still a lot of people who are negligent, not interested in following the doctor's recommendations. You can still see people not wearing masks, people gathering in groups, people sitting close together, especially teenagers, I see a lot. The important thing is how do we instill this awareness? I want these people to empathize with the people who are...",เห็นใจคนทำมาหากินมากครับ   แต่ก็ยังมีคนอีกจำนวนมาก ที่ละเลย ไม่สนใจตามข้อปฏิบัติตามที่แพทย์แนะนำ  ยังคงเห็นคนไม่ใส่แมส  คนรวมกลุ่มกัน  คนนั่งติดกัน  โดยเฉพาะกลุ่มวันรุ่นเห็นเยอะมาก  ข้อสำคัญ คือ เราจะปลูกจิตสำนึกตรงนี้ยังไง   อยากให้คนกลุ่มนี้เห็นใจคนที่เ,0.431,0.479,0.231,"anticipation, disgust, pessimism, sadness.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Sometimes I think it's their own fault. In India, there are two kinds of people: smart people and stupid people. 
1. Smart people are aware and take care of themselves. 
2. Stupid people, even though they know, still live their lives normally, not caring, not wearing masks, going to gatherings, and doing traditional activities.` on topic of `fask masks`",TNN,2021-04-27,"Sometimes I think it's their own fault. In India, there are two kinds of people: smart people and stupid people. 
1. Smart people are aware and take care of themselves. 
2. Stupid people, even though they know, still live their lives normally, not caring, not wearing masks, going to gatherings, and doing traditional activities.","บางทีก้อทำตัวเองป่ะ​ อินเดียมีคนสองประเภท​ คนฉลาดกะคนโง่
1.คนฉลาดรู้และป้องกันดูแลตัวเอง
2.คนโง่​รู้แต่ก้อยังใช้ชีวิตปกติไม่สนใจไม่ใส่แมสไปรวมตัวกันทำกิจกรรมโบราณ",0.438,0.396,0.233,"anger, disgust.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `Not a single person is wearing a mask.` on topic of `fask masks`,TNN,2020-11-05,Not a single person is wearing a mask.,หน้ากากอนามัยไม่ใส่สักคน,0.392,0.333,0.208,"joy, sadness.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `I wish everyone around the world to be safe. Don't be careless, protect yourself the best you can, stay healthy, exercise, eat a balanced diet, get enough rest, wash your hands frequently, wear a mask, don't go to crowded areas unless necessary. Be prepared, prepare yourself, plan for the future in every way. Just` on topic of `fask masks`",TNN,2022-01-02,"I wish everyone around the world to be safe. Don't be careless, protect yourself the best you can, stay healthy, exercise, eat a balanced diet, get enough rest, wash your hands frequently, wear a mask, don't go to crowded areas unless necessary. Be prepared, prepare yourself, plan for the future in every way. Just",ขอให้ทุกคนทั่วโลกปลอดภัยคะ ไม่ประมาทป้องกันตัวเองให้ดีที่สุดรักษาสุขภาพให้ดีที่สุดออกกำลังกายทานอาหารครบ5หมู่พักผ่อนให้เพียงพอ ล้างมือบ่อยๆใส่แมสหน้ากากอนามัย ไม่ไปในพื้นที่พลุกพล่านถ้าไม่จำเป็น เตรียมตัวเตรียมความพร้อมเตรียมตัววางแผนอนาคตไว้ทุกอย่าง แค่น,0.333,0.45,0.233,"anticipation, fear, joy, optimism, trust.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `We are not afraid because we are not careless, we know how to protect ourselves the best we can. We wear masks, wash our hands frequently, take care of our health, eat a balanced diet, exercise, and get enough rest.  We don’t go to crowded places unless it’s necessary. Be prepared, plan for the future in every way and we will survive every crisis.  Good luck everyone.` on topic of `fask masks`",TNN,2022-01-13,"We are not afraid because we are not careless, we know how to protect ourselves the best we can. We wear masks, wash our hands frequently, take care of our health, eat a balanced diet, exercise, and get enough rest.  We don’t go to crowded places unless it’s necessary. Be prepared, plan for the future in every way and we will survive every crisis.  Good luck everyone.",เราไม่กลัวเพราะเราไม่ประมาทรู้จักป้องกันตัวเองให้ดีที่สุด ใส่แมสล้างมือบ่อยๆรักษาสุขภาพให้ดีที่สุดทานอาหารครบออกกำลังกายพักผ่อนให้เพียงพอ ไม่ไปในที่คนพลุกพล่านถ้าไม่จำเป็นเตรียมตัวเตรียมความพร้อมเตรียมตัววางแผนอนาคตไว้ทุกอย่าง ก็จะรอดพ้นในทุกวิกฤต ขอให้ทุ,0.396,0.396,0.393,"joy, optimism, trust.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `A coworker got infected with Covid, they were sitting and working without wearing a mask. Other people came to discuss work with them for half an hour each time (everyone wore masks except the person with Covid). In the end, no one else got infected. Wearing a mask really helps.` on topic of `fask masks`",TNN,2022-01-13,"A coworker got infected with Covid, they were sitting and working without wearing a mask. Other people came to discuss work with them for half an hour each time (everyone wore masks except the person with Covid). In the end, no one else got infected. Wearing a mask really helps.",เพื่อนร่วมงานติดโควิด นั่งทำงานไม่ใส่แมส แต่คนอื่นๆเข้ามาคุยงานแต่ละครั้งนานครึ่งชั่วโมง(ใส่แมสทุกคนยกเว้นคนมีโควิด) สุดท้ายไม่มีใครติดโควิด การใส่หน้ากากช่วยได้จริงๆ,0.396,0.479,0.396,"joy, optimism.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `I only see vaccinated people exercising in the park without wearing masks. Their guard is down like this and they still accuse the unvaccinated of spreading the virus. It's outrageous. The unvaccinated are living carefully, protecting themselves. It's those who are vaccinated who are careless.` on topic of `fask masks`",TNN,2021-11-20,"I only see vaccinated people exercising in the park without wearing masks. Their guard is down like this and they still accuse the unvaccinated of spreading the virus. It's outrageous. The unvaccinated are living carefully, protecting themselves. It's those who are vaccinated who are careless.",เห็นแต่พวกที่ฉีดวัคซีนไปออกกำลังกายในสวนสาธารณะไม่สวมแมส การ์ดตกแบบนี้แล้วยังจะมากล่าวหาว่าคนไม่ฉีดแพร่เชื้อ ทุเรศอะ คนทีไม่ฉีดจะใช้ชีวิตอย่างระมัดระวัง ป้องกัยตนเอง ส่วนไอ้พวกฉีดแล้วนั่นแหละชอบประมาท,0.521,0.479,0.233,"anger, disgust.",Against
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `The governor should go learn how to wear a mask properly.  Wearing it like that is meaningless. Thank you.` on topic of `fask masks`,TNN,2020-12-21,The governor should go learn how to wear a mask properly.  Wearing it like that is meaningless. Thank you.,ผู้ว่าไปเรียนการใส่แมสใหม่ด้วยนะ ใส่แบบนี้เท่ากับ ไม่มีความหมายอะไรเลย ขอบคุณครับ,0.438,0.396,0.212,"anger, disgust, joy, optimism.",Favorable
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `In the clip, the governor isn't wearing a mask either.` on topic of `fask masks`",TNN,2022-12-04,"In the clip, the governor isn't wearing a mask either.",ในคลิป ผู้ว่าก็ไม่ใส่แมส,0.392,0.393,0.233,"anger, disgust, fear.",Neutral
