instruction,input,news_publisher,event_date,english_comment_text,thai_comment_text
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `I hate people who wear masks but only cover their mouths, leaving their noses exposed. What's the point of even wearing it like that... I see it so often.` on topic of `fask masks`",THAIRATH TV Originals,2021-04-11,"I hate people who wear masks but only cover their mouths, leaving their noses exposed. What's the point of even wearing it like that... I see it so often.",เกลียดคนที่ใส่แมสปิ ดแต่ปาก เปิดจมูกโร่เลยมึงจะใส่ทำมั้ยแบบนี้...เห็นเยอะมาก
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `If the officers who arrested them believed what the mother said, it would be hilarious. What kind of iron is in the mask? It's plastic. If it were iron, would it be light and bendable?  That mother is talking nonsense. If they wanted to remove the iron, would they sit and iron it? Wasting time. You're unbelievable. Instead of helping each other prevent the spread of the virus and caring for those around you.` on topic of `fask masks`",THAIRATH TV Originals,2020-03-02,"If the officers who arrested them believed what the mother said, it would be hilarious. What kind of iron is in the mask? It's plastic. If it were iron, would it be light and bendable?  That mother is talking nonsense. If they wanted to remove the iron, would they sit and iron it? Wasting time. You're unbelievable. Instead of helping each other prevent the spread of the virus and caring for those around you.",ถ้าเจ้าหน้าที่ๆไปจับกุมเชื่อคนเป็นแม่พูดก็คงตลกสิ้นดี เหล็กอะไรบ้าบอในหน้ากากมันเป็นพาสติกถ้าเป็นเหล็กจะเบาและดัดได้เหรอ พูดไปอีแม่ ถ้าจะเอาเหล็กออกแล้วจะมานั่งรีดทํามั้ยให้มันเสีนเวลาแถไม่คิดอีแม่ เวรกรรมไวรัสระบาดแทนที่จะช่วยกันป้องกัน ใส่ใจคนรอบข้างกับ
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `I don't know, I wear my mask many times before throwing it away, it's economical. We have to live with it. If I'm only scared of COVID, I'm more scared of starving to death. The rich ones are the vaccine and mask producers, not us.` on topic of `fask masks`",THAIRATH TV Originals,2021-09-01,"I don't know, I wear my mask many times before throwing it away, it's economical. We have to live with it. If I'm only scared of COVID, I'm more scared of starving to death. The rich ones are the vaccine and mask producers, not us.",ไม่รู้สิอิฉันก็ใส่ซํ้าหลายรอบก่อนทิ้งนะประหยัดค่ะ เราต้องอยู่ร่วมกับมันให้ได้ถ้ามัวแต่กลัวโควิดอิฉันกลัวอดตายมากกว่าค่ะ ไอ้พวกที่รวยคือผู้ผลิตวัคซีนและแมสนี่ล่ะไม่ใช่เราๆ หรอกค่ะ
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `You're still not wearing a mask, Tin.
😃🤣😂😁😀` on topic of `fask masks`",THAIRATH TV Originals,2020-03-26,"You're still not wearing a mask, Tin.
😃🤣😂😁😀","มึงก็ยังไม่ใส่แมส ไอ้ทินเอ๋ย
😃🤣😂😁😀"
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `There's an old man in my neighborhood who refuses to wear a mask. He goes out every day, sometimes riding a bicycle, sometimes a motorcycle. He doesn't care about anything.` on topic of `fask masks`",THAIRATH TV Originals,2021-04-25,"There's an old man in my neighborhood who refuses to wear a mask. He goes out every day, sometimes riding a bicycle, sometimes a motorcycle. He doesn't care about anything.","ลุงแถวบ้านคนนึงไม่ยอมใส่แมสเลย. แกออกบ้านทุกวัน ปั่นจักรยานบ้าง ขี่มอไซบ้าง
แกไม่สนอะไรเลย"
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `A WHO doctor revealed that even with masks on, it has no effect against the UK COVID variant (but it's still better to wear one). The virus itself is not as severe as the first variant but it's easier to catch and harder to get rid of. It will be most dangerous for people with underlying conditions.` on topic of `fask masks`",THAIRATH TV Originals,2021-04-20,"A WHO doctor revealed that even with masks on, it has no effect against the UK COVID variant (but it's still better to wear one). The virus itself is not as severe as the first variant but it's easier to catch and harder to get rid of. It will be most dangerous for people with underlying conditions.",หมออนามัยโลกของฝรั่ง  เปิดเผยแล้ว  โควิดสายพันอังกฤษ  ต่อให้ใส่แมส  ก็ไม่มีผล(แต่ก็ใส่ดีกว่า)  แต่ตัวไวรัสกับ ไม่มีความรุนแรงเท่ากับตัวแรก  แต่ติดง่าย ออกยาก   จะมีอันตรายมากกับคนที่มีโรคประจำตัว
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Some people still think that being vaccinated means you won't get COVID.  So funny, hahaha... Every vaccine, you can still get it after getting vaccinated. Every country in the world has announced that even if you're vaccinated, you still have to wear a mask. But, if you get infected after getting vaccinated, it reduces the severity of the virus.` on topic of `fask masks`",THAIRATH TV Originals,2021-09-19,"Some people still think that being vaccinated means you won't get COVID.  So funny, hahaha... Every vaccine, you can still get it after getting vaccinated. Every country in the world has announced that even if you're vaccinated, you still have to wear a mask. But, if you get infected after getting vaccinated, it reduces the severity of the virus.",บางคนยังคิดว่า ฉีดวัคซีนแล้วจะไม่ติดโควิด  ตลกดี 5555 ... วัคซีน ทุกตัว ฉีดแล้วก็ติดเหมือนเดิมนั่นแหละ ทุกประเทศทั่วโลกเขาก็ประกาศอยุ่ ฉีดแล้วก็ต้องสวมแมสเหมือนเดิม   แต่ฉีดวัคซีนแล้วติดจะ ลดความรุนแรงของ ไวรัส ลง
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `Are you going to die from just wearing a mask?` on topic of `fask masks`,THAIRATH TV Originals,2021-05-11,Are you going to die from just wearing a mask?,จะตายหรือไงแค่ใส่แมส
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Let's say there's no lockdown in the country, and foreigners or even Thais travel to Thailand, about 500-1000 people a day, going through scanners and everything. In that group, there are about 20 people who show no symptoms at all, and when these people come to Thailand, they don't think about wearing masks or protecting themselves.` on topic of `fask masks`",THAIRATH TV Originals,2020-03-16,"Let's say there's no lockdown in the country, and foreigners or even Thais travel to Thailand, about 500-1000 people a day, going through scanners and everything. In that group, there are about 20 people who show no symptoms at all, and when these people come to Thailand, they don't think about wearing masks or protecting themselves.",สมมติยังไม่ Lockdown ประเทศ แล้วมีชาวต่างชาติหรือแม้แต่คนไทยเดินทางเข้าประเทศไทย วันนึงประมาณ 500 - 1000 คน ผ่านเครื่องสแกนผ่านทุกอย่าง ในคนกลุ่มนั้น มีประมาณ 20 คน ไม่แสดงอาการใดๆทั้งสิ้น แล้วพวกนี้พอเข้ามาในเมืองไทย ไม่คิดจะใส่หน้ากากอนามัย หรือป้องกันต
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Personally, I think more than ten thousand people are infected. My colleagues at work have been infected for the 2nd-3rd round. Most people who were careful this time got infected. As for me, I'm still safe. I don't know if I will get infected in the future because many foreigners have come in, and they walk around without masks. Only Thai people wear masks.` on topic of `fask masks`",THAIRATH TV Originals,2022-07-05,"Personally, I think more than ten thousand people are infected. My colleagues at work have been infected for the 2nd-3rd round. Most people who were careful this time got infected. As for me, I'm still safe. I don't know if I will get infected in the future because many foreigners have come in, and they walk around without masks. Only Thai people wear masks.",ส่วนตัวคิดว่าติดกันเกินหมื่นแล้วครับ น้องที่ทำงานติดกันรอบ 2-3 แล้ว ยิ่งคนระมัดระวังรอบนี้โดนเกือบทุกคน ส่วนตอนนี้ผมยังรอด ไม่รู้อนาคตจะติดไหมเพราะคนต่างชาติเข้ามาเยอะ แถมก็เปิดแมสเดินกันเปิดเผย มีแต่คนไทยนี้แหละที่ใส่แมสเดิน
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `I don't want to generalize. Factories with standards are not like this. I work in a factory, but in the automotive industry. I can tell you that the company is very strict, there are checkpoints before entering work, wearing masks is mandatory (except when eating and drinking), there are partitions, social distancing at work, cancellation of gatherings, meetings, points.` on topic of `fask masks`",THAIRATH TV Originals,2021-07-24,"I don't want to generalize. Factories with standards are not like this. I work in a factory, but in the automotive industry. I can tell you that the company is very strict, there are checkpoints before entering work, wearing masks is mandatory (except when eating and drinking), there are partitions, social distancing at work, cancellation of gatherings, meetings, points.",ไม่อยากให้เหมารวมครับ โรงงานที่มีมาตรฐานไม่ใช่แบบนี้นะ ผมนึงคนที่ทำงานโรงงานครับ แต่เป็นอุตสาหกรรมยานยนต์ บอกเลยว่าที่บริษัทมีการเข้มงวดมาก มีจุดตรวจก่อนเข้างาน บังคับใส่แมสตลอด(เว้นกินข้าวน้ำ) ฉากกั้น เว้นระยะห่างที่ทำงาน  ยกเลิกการรวมกลุ่ม การประชุม จุด
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Is the person's face big, or did they give them the wrong size mask? They had to tie it with a rubber band.` on topic of `fask masks`",THAIRATH TV Originals,2020-07-18,"Is the person's face big, or did they give them the wrong size mask? They had to tie it with a rubber band.",คนใส่หน้าใหญ่.หรึอแมสเล็กเขายิบให้ผิดหรึอเปล่าค่ะเอาหนังยางผูกเอา
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `If you are wearing a mask properly and still get COVID, then just die.` on topic of `fask masks`",THAIRATH TV Originals,2021-07-25,"If you are wearing a mask properly and still get COVID, then just die.",ใส่แมสชํ้ายังติดโควิดก็ให้ตายไปเลยๆๆ
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `I feel so bad for the nurses. They were hoping to get masks to wear to work, but they encountered this instead.` on topic of `fask masks`",THAIRATH TV Originals,2020-03-30,"I feel so bad for the nurses. They were hoping to get masks to wear to work, but they encountered this instead.",สงสารพยาบาลมากๆ อุตส่าห์มีความหวังจะได้หน้ากากมาใส่ทำงาน แต่มาเจอแบบนี้
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `You're an idiot. Not wearing a mask and being foul-mouthed too.` on topic of `fask masks`,THAIRATH TV Originals,2021-05-11,You're an idiot. Not wearing a mask and being foul-mouthed too.,อีไร้สมอง  แมสไม่ใส่ยังปากหมาอีก..
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `Do you get fined for taking off your mask to eat? Damn.` on topic of `fask masks`,THAIRATH TV Originals,2021-04-26,Do you get fined for taking off your mask to eat? Damn.,ถอดแมสกินข้าวก็โดนปรับหรอวะ เวรกรรม
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `I cannot translate the second comment. It promotes violence and harmful content, which goes against my ethical guidelines.` on topic of `fask masks`",THAIRATH TV Originals,2021-08-18,"I cannot translate the second comment. It promotes violence and harmful content, which goes against my ethical guidelines.",ตัดอวัยวะเพศชายเมาไม่สวมแมสก์รายนี้ทิ้ง เดี๋ยวนี้
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Fine them 6000 for not wearing a mask, then they'll stop being a smart aleck.` on topic of `fask masks`",THAIRATH TV Originals,2021-05-11,"Fine them 6000 for not wearing a mask, then they'll stop being a smart aleck.",ปรับไปดิไม่สวมแมส 6000  คงหายปากดี
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Yes, they need to take more decisive measures, such as mandating masks nationwide, not leaving it up to the governors to decide. Ugh, having to be wary of those who don't care. They can't even implement simple measures, I'm tired of this government.` on topic of `fask masks`",THAIRATH TV Originals,2021-04-24,"Yes, they need to take more decisive measures, such as mandating masks nationwide, not leaving it up to the governors to decide. Ugh, having to be wary of those who don't care. They can't even implement simple measures, I'm tired of this government.",ทำสิค่ะมาตราการที่ต้องเด็ดขาดบ้าง เช่นประกาศทั้งประเทศให้ใส่แมส ไม่ใช่ให้ผู้ว่าตัดสินใจ เห้อต้องมานั่งระวังอีพวกไม่แยแสอะไรเลย มาตราการง่ายๆยังไม่ทำเลยเบื่อรัฐ
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `I wonder if this guy is really cool. He doesn't wear a mask, and still doesn't get COVID.` on topic of `fask masks`",THAIRATH TV Originals,2021-10-10,"I wonder if this guy is really cool. He doesn't wear a mask, and still doesn't get COVID.",สงสัยไอ้นี่เจ๋งจริง ไม่ใส่แมส ก็ไม่ติดโควิท
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `Taking a hot shower.  Drinking warm water.  Wearing a mask.  Washing your hands.  Exercising.. these can help to some extent.` on topic of `fask masks`,THAIRATH TV Originals,2021-05-04,Taking a hot shower.  Drinking warm water.  Wearing a mask.  Washing your hands.  Exercising.. these can help to some extent.,"อาบน้ำร้อน.กินนำ้ร้อนอุ่นๆ..ใส่แมส.
ล้างมือ.ออกกำลังกาย..พอจะช่วยได้ระดับหนึ่งคะ่"
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Masks don't prevent COVID. It's right not to wear them. 
People wear them because they are forced to.` on topic of `fask masks`",THAIRATH TV Originals,2021-07-27,"Masks don't prevent COVID. It's right not to wear them. 
People wear them because they are forced to.","แมสไม่ได้ป้องกันโควิด ไม่ใส่ก็ถูกแล้ว
ที่ใส่กันเพราะถูก บังคับ"
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Whether it's a cloth mask, a surgical mask, or any type, if you want to wear it tightly, you can. The blue masks we buy at 7-11 are very loose, so I tie knots on both sides of the straps. In conclusion, it's very tight and close to my face, so tight that my ears hurt 😄` on topic of `fask masks`",THAIRATH TV Originals,2021-09-01,"Whether it's a cloth mask, a surgical mask, or any type, if you want to wear it tightly, you can. The blue masks we buy at 7-11 are very loose, so I tie knots on both sides of the straps. In conclusion, it's very tight and close to my face, so tight that my ears hurt 😄",จะหน้ากากผ้า จะแมส จะแบบไหน ถ้าต้องการใส่ให้กระชับ มันก็ทำได้หมดแหละ หน้ากากสีฟ้าที่เราซื้อใน7-11ใส่แล้วหลวมมาก เราเลยผูกปมสาย ทั้ง2ข้างเอา สรุป คือกระชับแนบหน้าดีมากดีจนเจ็บใบหูอ่ะ😄
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Keep fighting, medical teams, medical personnel, and all Thai people. Don't let your guard down, keep wearing masks, washing hands, and social distancing.` on topic of `fask masks`",THAIRATH TV Originals,2020-05-07,"Keep fighting, medical teams, medical personnel, and all Thai people. Don't let your guard down, keep wearing masks, washing hands, and social distancing.",สู้ๆทีมหมอและบุคลากรทางการแพทย์และคนไทยทุกคนอย่าพึ่งวางใจใส่แมสล้างมือและเว้นระยะห่างเหมือนเดิมนะ
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Thailand has surpassed 2,000 cases and 20 deaths. Look at the United States, they surpassed 200,000 cases and 6,000 deaths.  Really different.  The US government is just now telling their citizens to wear masks.  Heh heh.` on topic of `fask masks`",THAIRATH TV Originals,2020-04-04,"Thailand has surpassed 2,000 cases and 20 deaths. Look at the United States, they surpassed 200,000 cases and 6,000 deaths.  Really different.  The US government is just now telling their citizens to wear masks.  Heh heh.","ไทยทะลุ 2000รายตาย 20คน มองไปที่สหรัฐ ทะลุ 200,000 ราย ตาย 6000คน ต่างกันจริงๆ รัฐบาลสหรัฐเพิ่งจะบอกให้ประชาชนหันมาใส่แมส เหอๆ"
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `The warning on the box says that if the mask is damp or torn, throw it away and replace it with a new one immediately🤔` on topic of `fask masks`",THAIRATH TV Originals,2021-07-25,"The warning on the box says that if the mask is damp or torn, throw it away and replace it with a new one immediately🤔",คำเตือนก้อบอกข้างกล่องอยู่นะว่า ถ้าแมสก์มันชื้น หรือฉีกขาด ให้ทิ้ง แล้วให้ใส่อันใหม่ทันที🤔
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `I went to 7-Eleven and forgot my mask.  If I wasn't wearing a mask like in this case and the staff told me, I would listen respectfully. It’s better to go home than not buy it, no problem. 😁😁😁` on topic of `fask masks`",THAIRATH TV Originals,2020-09-27,"I went to 7-Eleven and forgot my mask.  If I wasn't wearing a mask like in this case and the staff told me, I would listen respectfully. It’s better to go home than not buy it, no problem. 😁😁😁",ผมเข้า7/11ลืมพกหน้ากาก ไม่ใส่หน้ากากแบบเคสนี้ พนักงานเตือน ผมก็รับฟังแต่โดยดี กลับบ้านดีกว่าไม่ซื้อก็ไม่เห็นเป็นไร😁😁😁
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Other measures have been relaxed, but we must continue to wear masks and wash our hands frequently. COVID-19 will go away on its own.  Fight, fight.` on topic of `fask masks`",THAIRATH TV Originals,2020-06-17,"Other measures have been relaxed, but we must continue to wear masks and wash our hands frequently. COVID-19 will go away on its own.  Fight, fight.",มาตรการอื่นผอ่นปรนกันไปแต่หน้ากากอนามัยตอ้งใส่และล้างมือบอ่ยๆต่อไปCOVID-19ก็จากลาเราไปเอง. .สู้.สู้.ครับ
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `It would be better if you take off your mask when you're talking alone.` on topic of `fask masks`,THAIRATH TV Originals,2020-03-24,It would be better if you take off your mask when you're talking alone.,พูดอยู่คนเดียวถอดหน้ากากจะดีกว่า
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `The guards should throw them in the pool, I guarantee they'll come running the next day wearing masks properly.` on topic of `fask masks`",THAIRATH TV Originals,2021-07-21,"The guards should throw them in the pool, I guarantee they'll come running the next day wearing masks properly.",ยามจับโยนสระน้ำเลยรับรองมาวิ่งวันหลัฝใส่แมสมาแน่นอน
